# Agent Skills Index
URL_TEMPLATE: https://raw.githubusercontent.com/{repo}/main/skills/{path}/SKILL.md
COLUMNS: id;repo;path;summary

## PRODUCT SKILLS (TOP 800)
posthog-automation;composiohq/awesome-claude-skills;;Automate PostHog tasks via Rube MCP (Composio): events, feature flags, projects, user profiles, annotations. Always search tools first for c
wrike-automation;composiohq/awesome-claude-skills;;Automate Wrike project management via Rube MCP (Composio): create tasks/folders, manage projects, assign work, and track progress.
prd;github/awesome-copilot;prd;Generate high-quality PRDs with executive summaries, user stories, and risk analysis for software and AI features.
product-strategist;davila7/claude-code-templates;business-marketing/product-strategist;A strategic product leadership toolkit for Head of Product, including OKR cascade generation, market analysis, vision setting, and team scal
product-manager-toolkit;davila7/claude-code-templates;business-marketing/product-manager-toolkit;A comprehensive toolkit for product managers including RICE prioritization, customer interview analysis, PRD templates, and go-to-market str
agile-product-owner;davila7/claude-code-templates;business-marketing/agile-product-owner;An Agile product ownership toolkit for Senior Product Owners including user story generation, sprint planning, and backlog management.
linear;davila7/claude-code-templates;productivity/linear;Manage issues, projects, and team workflows in Linear.
requirements-clarity;davila7/claude-code-templates;productivity/requirements-clarity;Clarify ambiguous requirements through focused dialogue before implementation, using Why? and Simpler? checks.
launch-strategy;davila7/claude-code-templates;business-marketing/launch-strategy;Plan product launches, feature announcements, and release strategies with phased approaches and channel planning.
ai-wrapper-product;davila7/claude-code-templates;business-marketing/ai-wrapper-product;Build AI-powered products that wrap APIs into focused tools with cost management and rate limiting.
app-store-optimization;davila7/claude-code-templates;business-marketing/app-store-optimization;A complete App Store Optimization (ASO) toolkit for researching, optimizing, and tracking mobile app performance.
page-cro;davila7/claude-code-templates;business-marketing/page-cro;Optimize marketing pages for better conversions, including homepage, landing pages, and blog posts.
onboarding-cro;davila7/claude-code-templates;business-marketing/onboarding-cro;Optimizes post-signup onboarding, user activation, and first-run experience to improve time-to-value.
game-changing-features;davila7/claude-code-templates;productivity/game-changing-features;Identifies high-impact product opportunities and improvements for strategic thinking.
signup-flow-cro;davila7/claude-code-templates;business-marketing/signup-flow-cro;Optimize user signup and registration flows to reduce drop-off and improve conversion rates.
ab-test-setup;davila7/claude-code-templates;business-marketing/ab-test-setup;Plan, design, and implement A/B tests or experiments with variant copy and multivariate testing.
page-cro;coreyhaines31/marketingskills;page-cro;Optimize marketing pages for better conversions, including homepage, landing pages, and blog posts.
launch-strategy;coreyhaines31/marketingskills;launch-strategy;Plan product launches, feature announcements, and release strategies with phased approaches and channel planning.
onboarding-cro;coreyhaines31/marketingskills;onboarding-cro;Optimizes post-signup onboarding, user activation, and first-run experience to improve time-to-value.
signup-flow-cro;coreyhaines31/marketingskills;signup-flow-cro;Optimize user signup and registration flows to reduce drop-off and improve conversion rates.
ab-test-setup;coreyhaines31/marketingskills;ab-test-setup;Plan, design, and implement A/B tests or experiments with variant copy and multivariate testing.
pi-planning-with-files;othmanadi/planning-with-files;;PI planning with file management for project coordination and documentation
product-manager-toolkit;sickn33/antigravity-awesome-skills;product-manager-toolkit;A comprehensive toolkit for product managers including RICE prioritization, customer interview analysis, PRD templates, and go-to-market str
app-store-optimization;sickn33/antigravity-awesome-skills;app-store-optimization;A complete App Store Optimization (ASO) toolkit for researching, optimizing, and tracking mobile app performance.
ai-wrapper-product;sickn33/antigravity-awesome-skills;ai-wrapper-product;Build AI-powered products that wrap APIs into focused tools with cost management and rate limiting.
ab-test-setup;sickn33/antigravity-awesome-skills;ab-test-setup;A structured guide for setting up A/B tests with mandatory gates for hypothesis, metrics, and execution readiness.
onboarding-cro;sickn33/antigravity-awesome-skills;onboarding-cro;Optimizes post-signup onboarding, user activation, and first-run experience to improve time-to-value.
launch-strategy;sickn33/antigravity-awesome-skills;launch-strategy;Plan product launches, feature announcements, and release strategies with phased approaches and channel planning.
signup-flow-cro;sickn33/antigravity-awesome-skills;signup-flow-cro;Optimize user signup and registration flows to reduce drop-off and improve conversion rates.
conductor-new-track;sickn33/antigravity-awesome-skills;conductor-new-track;Create a new track with specification and phased implementation plan
prd;snarktank/ralph;prd;Generate a Product Requirements Document (PRD) for new features or projects.
linear;openai/skills;main/skills/.curated/linear;Manage issues, projects, and team workflows in Linear.
feature-spec;anthropics/knowledge-work-plugins;feature-spec;Write structured product requirements documents (PRDs) with problem statements, user stories, requirements, and success metrics for new feat
user-research-synthesis;anthropics/knowledge-work-plugins;user-research-synthesis;Synthesize qualitative and quantitative user research into structured insights and opportunity areas for product development.
roadmap-management;anthropics/knowledge-work-plugins;roadmap-management;Plan and prioritize product roadmaps using frameworks like RICE, MoSCoW, and ICE for feature planning and stakeholder presentations.
metrics-tracking;anthropics/knowledge-work-plugins;metrics-tracking;Define, track, and analyze product metrics with frameworks for goal setting and dashboard design. Use when setting up OKRs, building metrics
ralph-init;yeachan-heo/oh-my-claudecode;ralph-init;Initialize a Product Requirements Document (PRD) for structured Ralph-loop execution.
ralph-tui-prd;subsy/ralph-tui;ralph-tui-prd;Generates Product Requirements Documents (PRDs) with user stories for task orchestration, convertible to beads issues or prd.json.
feature-forge;jeffallan/claude-skills;feature-forge;Define new features, gather requirements, and write specifications using EARS format.
product-requirements;cexll/myclaude;product-requirements;An interactive Product Owner skill for gathering requirements, analyzing features, and generating PRDs with quality scoring and iterative di
game-changing-features;softaworks/agent-toolkit;game-changing-features;Identifies high-impact product opportunities and improvements for strategic thinking.
agile-product-owner;alirezarezvani/claude-skills;;An Agile product owner skill for backlog management, sprint planning, and user story writing.
